Location,Population,HighestInfectionCount,PercentPopulationInfected
Central African Republic,4919987,13898,0.28248042118810479
Syria,18275704,51341,0.28092488256539938
Guinea,13497237,36013,0.26681757162595576
Low income,665149040,1765589,0.26544261418463444
Eritrea,3601462,9525,0.26447592672087056
Nicaragua,6702379,17650,0.26333933070630594
Haiti,11541683,28875,0.25018015136960531
Benin,12451031,26450,0.21243220742121677
Madagascar,28427333,59319,0.20866888919899734
Tajikistan,9749625,17663,0.18116594227983129
Hong Kong,7552800,13679,0.18111164071602584
Somalia,16359500,25388,0.15518811699624072
South Sudan,11381377,16779,0.14742504356019487
Mali,20855724,30045,0.14406116996945298
Liberia,5180208,7254,0.14003298709241019
Solomon Islands,703995,898,0.12755772413156344
Sudan,44909351,57106,0.12715837287428181
Nigeria,211400704,253023,0.11968881617347878
Burkina Faso,21497097,20611,0.0958780620471685
Sierra Leone,8141343,7622,0.093620917335137457
Democratic Republic of Congo,92377986,84998,0.092011098834737529
Taiwan,23855008,18735,0.078536968002693608
Saint Helena,6095,4,0.065627563576702214
Tanzania,61498438,32920,0.053529814854809808
Chad,16914985,7075,0.041826818055115039
Yemen,30490639,10942,0.035886424026731617
Niger,25130810,8649,0.034415922129051944
Samoa,200144,30,0.01498920777040531
Macao,658391,79,0.011998948952825904
Marshall Islands,59618,7,0.01174142037639639
Cook Islands,17572,2,0.011381743683132257
China,1444216102,106073,0.0073446764547983141
Vanuatu,314464,7,0.0022260099725246768
Tonga,106759,1,0.00093668917842992154
Micronesia (country),116255,1,0.00086017805685776965
Guernsey,63385,,
Jersey,101073,,
Niue,1614,,
Nauru,10873,,
Pitcairn,47,,
Sint Maarten (Dutch part),43421,,
Tokelau,1368,,
Turkmenistan,6117933,,
Tuvalu,11925,,
Northern Cyprus,,,
International,,721,
